,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
PROSTATE,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,,2,2,,0,,1,0
STOMACH,0.3333333333333333,,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.8,0.0,0.6666666666666666,0.5,1.0,0.25,0.5,0.3333333333333333,3,0,4,1,2,3,1,3,3,3,3,3,2,4,3,5,3,3,4,4,4,2,3
URINARY,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.4,0.7142857142857143,1.0,0.4,0.3333333333333333,1.0,0.6,0.8,0.0,0.5,0.6666666666666666,3,3,3,4,3,2,6,3,1,3,2,3,5,7,2,5,3,4,5,5,2,2,3
NERVOUS,1.0,1.0,0.75,1.0,1.0,1.0,0.8888888888888888,0.9166666666666666,0.6666666666666666,0.8,0.7777777777777778,0.7142857142857143,0.75,0.8333333333333334,0.9090909090909091,0.6923076923076923,0.75,1.0,0.5,0.5,0.5714285714285714,0.75,1.0,14,15,4,9,13,11,9,12,9,10,9,7,8,12,11,13,12,6,6,2,7,8,15
OVARY,1.0,0.7142857142857143,0.875,1.0,0.7142857142857143,1.0,0.875,0.8181818181818182,1.0,0.875,0.75,0.5,0.8,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.0,0.9090909090909091,0.8,1.0,0.625,0.75,1.0,1,7,8,3,7,7,8,11,10,8,8,6,10,7,3,3,7,11,5,2,8,4,5
HAEMATOPOIETIC,0.125,0.0,0.0,0.0,1.0,0.5454545454545454,0.0,0.25,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.6842105263157895,0.0,0.0,0.09090909090909091,0.1111111111111111,0.6666666666666666,0.0,0.4,0.45454545454545453,0.0,0.0,0.4444444444444444,8,1,5,1,13,11,4,8,9,6,9,19,5,5,11,9,9,3,10,11,8,8,9
KIDNEY,,1.0,1.0,1.0,,,1.0,0.0,0.75,0.6666666666666666,0.0,,1.0,1.0,,,0.6666666666666666,1.0,,,1.0,,,0,3,3,3,,,3,1,4,3,1,0,1,1,0,0,3,1,,0,1,0,0
THYROID,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,,0,2,0,0,0,0,0,0,0,0
SKIN,1.0,0.5,0.9,0.8333333333333334,0.0,0.0,0.6,0.6666666666666666,0.5,1.0,0.5,1.0,0.9,0.8571428571428571,0.875,0.6,0.6666666666666666,0.8888888888888888,0.0,0.25,1.0,0.7142857142857143,1.0,14,4,10,6,2,1,5,6,6,6,8,12,10,7,8,5,6,9,1,4,7,7,10
SOFT_TISSUE,1.0,0.5,,,1.0,1.0,,1.0,,1.0,0.0,0.5,,1.0,0.5,0.5,,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,4,2,0,0,2,2,0,3,0,1,1,2,0,1,2,2,0,2,3,1,3,3,4
SALIVARY,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,0,,,,,,1,1,,,0,0,1,,,,,1,1,,1,1,0
