,OESOPHAGUS,HAEMATOPOIETIC,THYROID,SOFT_TISSUE,GANGLIA,LUNG,ENDOMETRIUM,SKIN,BREAST,LIVER,URINARY,OVARY,AERODIGESTIVE,BILIARY,SALIVARY,STOMACH,PLEURA,PANCREAS,LARGE_INTESTINE,BONE,PROSTATE,KIDNEY,NERVOUS
1318,6.0,0.0,4.0,5.0,2.0,8.0,3.0,7.0,14.0,10.0,1.0,9.0,11.0,12.0,13.0,18.0,17.0,16.0,15.0,19.0,20.0,21.0,22.0
1367,0.0,1.0,2.0,3.0,5.0,9.0,8.0,4.0,10.0,12.0,7.0,11.0,6.0,13.0,14.0,15.0,16.0,18.0,17.0,20.0,21.0,19.0,22.0
1416,3.0,0.0,5.0,2.0,4.0,6.0,9.0,7.0,10.0,11.0,8.0,12.0,1.0,13.0,14.0,16.0,17.0,18.0,15.0,20.0,19.0,21.0,22.0
1465,2.0,1.0,5.0,0.0,4.0,11.0,9.0,16.0,10.0,6.0,8.0,3.0,7.0,12.0,13.0,18.0,17.0,15.0,14.0,19.0,20.0,21.0,22.0
1514,0.0,1.0,2.0,3.0,10.0,8.0,5.0,7.0,4.0,6.0,13.0,16.0,9.0,11.0,12.0,14.0,19.0,15.0,17.0,20.0,18.0,21.0,22.0
1563,0.0,6.0,1.0,5.0,3.0,9.0,4.0,2.0,7.0,8.0,15.0,16.0,13.0,10.0,11.0,14.0,12.0,17.0,18.0,19.0,21.0,20.0,22.0
1612,0.0,1.0,2.0,3.0,4.0,9.0,6.0,8.0,5.0,7.0,15.0,13.0,10.0,11.0,12.0,17.0,14.0,20.0,16.0,19.0,18.0,21.0,22.0
1661,6.0,0.0,5.0,1.0,2.0,7.0,4.0,3.0,8.0,9.0,13.0,16.0,17.0,11.0,12.0,14.0,10.0,15.0,18.0,19.0,20.0,21.0,22.0
1710,1.0,4.0,3.0,2.0,0.0,6.0,14.0,7.0,12.0,5.0,16.0,13.0,10.0,9.0,8.0,11.0,15.0,18.0,20.0,17.0,19.0,21.0,22.0
1759,0.0,3.0,1.0,4.0,2.0,8.0,6.0,5.0,10.0,7.0,17.0,9.0,11.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,20.0,22.0,21.0
1808,0.0,2.0,4.0,1.0,7.0,6.0,9.0,5.0,13.0,3.0,10.0,17.0,8.0,11.0,12.0,15.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
1857,3.0,2.0,0.0,1.0,4.0,5.0,6.0,13.0,7.0,8.0,9.0,15.0,10.0,11.0,12.0,17.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
1906,1.0,0.0,2.0,3.0,4.0,5.0,9.0,6.0,8.0,7.0,16.0,15.0,10.0,11.0,12.0,14.0,18.0,17.0,13.0,21.0,19.0,22.0,20.0
1955,3.0,2.0,0.0,1.0,4.0,5.0,7.0,6.0,8.0,9.0,14.0,16.0,11.0,12.0,13.0,15.0,10.0,17.0,18.0,19.0,21.0,20.0,22.0
2004,2.0,1.0,3.0,11.0,0.0,7.0,8.0,5.0,6.0,4.0,9.0,13.0,15.0,10.0,12.0,14.0,20.0,17.0,16.0,19.0,18.0,21.0,22.0
2053,0.0,2.0,1.0,13.0,3.0,9.0,4.0,6.0,5.0,16.0,7.0,14.0,10.0,11.0,12.0,15.0,8.0,19.0,18.0,20.0,17.0,21.0,22.0
2102,5.0,1.0,0.0,14.0,2.0,6.0,8.0,7.0,3.0,9.0,10.0,4.0,11.0,12.0,13.0,18.0,15.0,17.0,20.0,19.0,16.0,21.0,22.0
2151,5.0,2.0,0.0,11.0,1.0,3.0,14.0,8.0,4.0,6.0,9.0,7.0,16.0,10.0,12.0,15.0,13.0,17.0,18.0,20.0,19.0,21.0,22.0
2200,2.0,1.0,0.0,14.0,6.0,8.0,9.0,4.0,10.0,3.0,7.0,11.0,15.0,12.0,13.0,5.0,19.0,17.0,18.0,20.0,16.0,21.0,22.0
2249,1.0,0.0,3.0,14.0,2.0,8.0,6.0,7.0,10.0,5.0,11.0,9.0,16.0,12.0,13.0,15.0,4.0,17.0,20.0,19.0,18.0,21.0,22.0
2298,5.0,2.0,0.0,11.0,1.0,4.0,3.0,6.0,8.0,7.0,16.0,13.0,18.0,12.0,9.0,15.0,14.0,20.0,19.0,17.0,10.0,21.0,22.0
2347,2.0,1.0,0.0,12.0,4.0,8.0,5.0,7.0,14.0,3.0,9.0,6.0,19.0,11.0,13.0,16.0,15.0,20.0,17.0,10.0,18.0,21.0,22.0
2396,2.0,1.0,0.0,11.0,3.0,6.0,5.0,8.0,7.0,4.0,15.0,12.0,18.0,10.0,9.0,16.0,14.0,13.0,17.0,21.0,19.0,20.0,22.0
2445,1.0,3.0,0.0,12.0,2.0,9.0,4.0,8.0,10.0,6.0,5.0,7.0,15.0,11.0,13.0,16.0,14.0,17.0,19.0,20.0,18.0,21.0,22.0
2494,4.0,2.0,1.0,5.0,6.0,9.0,8.0,16.0,15.0,3.0,7.0,14.0,12.0,10.0,11.0,0.0,13.0,19.0,17.0,18.0,21.0,20.0,22.0
2543,4.0,5.0,2.0,3.0,0.0,8.0,7.0,16.0,15.0,9.0,14.0,10.0,6.0,11.0,12.0,1.0,13.0,19.0,17.0,18.0,21.0,20.0,22.0
2592,0.0,4.0,5.0,2.0,3.0,8.0,6.0,7.0,16.0,14.0,18.0,15.0,11.0,10.0,9.0,1.0,12.0,17.0,13.0,19.0,21.0,20.0,22.0
2641,4.0,0.0,2.0,3.0,5.0,8.0,13.0,17.0,16.0,6.0,14.0,15.0,12.0,10.0,9.0,1.0,11.0,18.0,7.0,19.0,21.0,20.0,22.0
2690,3.0,5.0,1.0,2.0,4.0,7.0,6.0,14.0,8.0,9.0,13.0,15.0,17.0,10.0,11.0,0.0,12.0,18.0,19.0,16.0,21.0,20.0,22.0
2739,4.0,0.0,2.0,3.0,5.0,6.0,11.0,16.0,15.0,8.0,10.0,7.0,12.0,13.0,14.0,1.0,17.0,18.0,9.0,21.0,20.0,19.0,22.0
2788,1.0,0.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,16.0,11.0,13.0,14.0,15.0,12.0,17.0,18.0,20.0,21.0,19.0,22.0
2837,3.0,0.0,5.0,2.0,4.0,9.0,7.0,8.0,16.0,18.0,13.0,15.0,12.0,10.0,11.0,1.0,6.0,14.0,17.0,20.0,19.0,21.0,22.0
2886,3.0,2.0,1.0,6.0,4.0,7.0,5.0,14.0,18.0,9.0,16.0,8.0,11.0,12.0,13.0,0.0,10.0,17.0,15.0,19.0,21.0,20.0,22.0
2935,3.0,4.0,1.0,2.0,5.0,8.0,14.0,7.0,16.0,6.0,9.0,15.0,13.0,10.0,11.0,0.0,12.0,18.0,19.0,20.0,17.0,21.0,22.0
2984,1.0,0.0,3.0,4.0,6.0,2.0,14.0,8.0,7.0,9.0,10.0,5.0,11.0,12.0,13.0,15.0,18.0,17.0,16.0,21.0,20.0,19.0,22.0
3033,1.0,3.0,4.0,0.0,5.0,7.0,11.0,2.0,12.0,9.0,10.0,8.0,6.0,13.0,14.0,18.0,19.0,20.0,15.0,17.0,16.0,21.0,22.0
3082,1.0,2.0,3.0,0.0,4.0,5.0,21.0,12.0,7.0,6.0,9.0,11.0,10.0,13.0,14.0,8.0,16.0,17.0,15.0,18.0,20.0,19.0,22.0
3131,2.0,1.0,4.0,0.0,5.0,8.0,14.0,7.0,13.0,6.0,16.0,3.0,10.0,11.0,12.0,9.0,19.0,18.0,17.0,15.0,21.0,20.0,22.0
3180,4.0,0.0,2.0,3.0,5.0,1.0,13.0,10.0,7.0,6.0,16.0,8.0,9.0,11.0,12.0,14.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
3229,5.0,3.0,12.0,0.0,6.0,1.0,15.0,7.0,4.0,2.0,10.0,8.0,9.0,11.0,13.0,14.0,20.0,17.0,18.0,16.0,19.0,21.0,22.0
3278,2.0,3.0,4.0,1.0,0.0,6.0,12.0,9.0,8.0,10.0,5.0,7.0,11.0,13.0,14.0,18.0,19.0,17.0,16.0,15.0,20.0,21.0,22.0
3327,7.0,1.0,3.0,0.0,8.0,2.0,14.0,11.0,5.0,9.0,6.0,4.0,15.0,12.0,13.0,10.0,17.0,19.0,16.0,18.0,20.0,21.0,22.0
3376,0.0,1.0,3.0,2.0,12.0,4.0,11.0,8.0,7.0,5.0,9.0,6.0,10.0,13.0,14.0,15.0,18.0,19.0,20.0,17.0,16.0,21.0,22.0
3425,2.0,1.0,5.0,0.0,10.0,6.0,14.0,15.0,3.0,4.0,9.0,7.0,8.0,11.0,12.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3474,1.0,3.0,4.0,0.0,2.0,6.0,7.0,9.0,14.0,8.0,10.0,5.0,11.0,12.0,13.0,17.0,16.0,19.0,15.0,20.0,18.0,21.0,22.0
3523,0.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,16.0,7.0,10.0,9.0,12.0,13.0,14.0,15.0,11.0,20.0,17.0,21.0,19.0,18.0,22.0
3572,3.0,2.0,0.0,1.0,4.0,6.0,9.0,8.0,16.0,10.0,17.0,7.0,5.0,11.0,12.0,14.0,13.0,20.0,15.0,19.0,18.0,21.0,22.0
3621,6.0,2.0,0.0,1.0,3.0,9.0,4.0,7.0,14.0,5.0,8.0,10.0,11.0,12.0,13.0,15.0,18.0,16.0,20.0,19.0,17.0,21.0,22.0
3670,3.0,0.0,5.0,2.0,1.0,6.0,7.0,8.0,15.0,4.0,9.0,13.0,10.0,11.0,12.0,16.0,14.0,19.0,17.0,21.0,18.0,20.0,22.0
3719,3.0,5.0,0.0,1.0,4.0,2.0,6.0,7.0,14.0,15.0,9.0,8.0,10.0,13.0,12.0,17.0,16.0,19.0,18.0,21.0,11.0,20.0,22.0
3768,3.0,2.0,0.0,1.0,4.0,10.0,9.0,7.0,11.0,5.0,8.0,6.0,17.0,13.0,14.0,19.0,12.0,15.0,20.0,21.0,18.0,16.0,22.0
3817,4.0,0.0,1.0,2.0,3.0,7.0,14.0,6.0,8.0,15.0,13.0,5.0,11.0,10.0,9.0,12.0,17.0,18.0,16.0,20.0,19.0,21.0,22.0
3866,3.0,2.0,0.0,1.0,4.0,5.0,15.0,6.0,13.0,8.0,16.0,7.0,9.0,10.0,11.0,17.0,14.0,18.0,12.0,20.0,19.0,21.0,22.0
3915,1.0,3.0,0.0,4.0,2.0,5.0,6.0,15.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,14.0,18.0,16.0,20.0,19.0,17.0,21.0,22.0
3964,5.0,0.0,3.0,4.0,1.0,9.0,8.0,7.0,10.0,6.0,16.0,15.0,13.0,11.0,12.0,17.0,2.0,14.0,19.0,18.0,20.0,21.0,22.0
4013,0.0,4.0,2.0,3.0,1.0,6.0,8.0,9.0,7.0,5.0,19.0,14.0,12.0,10.0,11.0,15.0,13.0,16.0,20.0,18.0,21.0,17.0,22.0
4062,2.0,1.0,3.0,4.0,0.0,6.0,10.0,5.0,8.0,7.0,14.0,9.0,11.0,12.0,13.0,18.0,15.0,17.0,19.0,16.0,20.0,21.0,22.0
4111,3.0,2.0,1.0,5.0,0.0,8.0,4.0,6.0,7.0,9.0,14.0,16.0,13.0,10.0,11.0,15.0,12.0,18.0,20.0,17.0,19.0,21.0,22.0
4160,5.0,2.0,3.0,4.0,0.0,8.0,12.0,6.0,7.0,1.0,15.0,14.0,13.0,10.0,9.0,16.0,11.0,17.0,19.0,18.0,20.0,21.0,22.0
4209,0.0,3.0,2.0,5.0,1.0,7.0,4.0,9.0,6.0,8.0,14.0,17.0,13.0,10.0,11.0,15.0,12.0,16.0,20.0,18.0,19.0,21.0,22.0
4258,5.0,1.0,2.0,3.0,0.0,6.0,7.0,10.0,9.0,4.0,15.0,8.0,12.0,13.0,14.0,16.0,11.0,18.0,19.0,21.0,17.0,20.0,22.0
4307,0.0,3.0,4.0,2.0,1.0,9.0,7.0,8.0,6.0,5.0,10.0,14.0,16.0,12.0,13.0,15.0,11.0,17.0,19.0,18.0,20.0,22.0,21.0
4356,3.0,1.0,5.0,4.0,0.0,6.0,8.0,2.0,7.0,9.0,15.0,10.0,13.0,11.0,12.0,14.0,17.0,16.0,22.0,19.0,18.0,20.0,21.0
4405,3.0,4.0,1.0,2.0,0.0,6.0,14.0,9.0,10.0,7.0,18.0,5.0,8.0,11.0,12.0,19.0,13.0,15.0,16.0,17.0,21.0,20.0,22.0
4454,0.0,1.0,2.0,3.0,6.0,7.0,4.0,9.0,5.0,8.0,11.0,10.0,12.0,13.0,14.0,21.0,18.0,15.0,22.0,17.0,16.0,20.0,19.0
4503,0.0,2.0,5.0,1.0,4.0,3.0,10.0,8.0,7.0,6.0,15.0,14.0,9.0,12.0,13.0,19.0,16.0,11.0,17.0,18.0,20.0,21.0,22.0
4552,3.0,4.0,1.0,2.0,9.0,12.0,0.0,7.0,6.0,5.0,8.0,11.0,10.0,13.0,14.0,21.0,16.0,15.0,17.0,18.0,19.0,20.0,22.0
4601,0.0,3.0,1.0,2.0,6.0,4.0,7.0,5.0,9.0,8.0,11.0,10.0,14.0,12.0,13.0,20.0,18.0,15.0,16.0,22.0,17.0,19.0,21.0
4650,2.0,4.0,0.0,1.0,6.0,5.0,3.0,8.0,9.0,10.0,12.0,7.0,11.0,13.0,14.0,19.0,17.0,15.0,18.0,16.0,20.0,22.0,21.0
4699,3.0,0.0,1.0,2.0,5.0,6.0,4.0,10.0,8.0,7.0,11.0,15.0,12.0,13.0,14.0,21.0,16.0,9.0,17.0,18.0,20.0,19.0,22.0
4748,0.0,3.0,4.0,2.0,6.0,8.0,1.0,5.0,9.0,10.0,11.0,14.0,7.0,12.0,13.0,21.0,17.0,15.0,18.0,16.0,19.0,20.0,22.0
4797,0.0,2.0,1.0,4.0,7.0,5.0,8.0,6.0,9.0,3.0,10.0,17.0,11.0,12.0,13.0,20.0,16.0,14.0,15.0,18.0,21.0,19.0,22.0
4846,0.0,3.0,1.0,2.0,6.0,7.0,5.0,10.0,4.0,8.0,11.0,9.0,12.0,13.0,14.0,21.0,16.0,15.0,17.0,18.0,20.0,19.0,22.0
4895,0.0,3.0,1.0,5.0,7.0,2.0,4.0,10.0,11.0,8.0,6.0,9.0,12.0,13.0,14.0,21.0,15.0,16.0,17.0,19.0,18.0,20.0,22.0
