,best_type_algo,best_type_perf,RPPA_best_stack_algo,RPPA_best_stack_add,RNA_best_stack_algo,RNA_best_stack_add,DNA_best_stack_algo,DNA_best_stack_add,PATHWAYS_best_stack_algo,PATHWAYS_best_stack_add,META_best_stack_algo,META_best_stack_add,MIRNA_best_stack_algo,MIRNA_best_stack_add
Lapatinib_ActArea,RFC,0.7070397856112143,Ada,0.8149659863945578,SVM,0.8008245722531437,Logistic,0.72569573283859,Logistic,0.7829107400535971,Ridge,0.7350133992991136,XGB,0.7537002679859823
Panobinostat_ActArea,Ridge,0.8363327149041435,SVC,0.8121212121212121,SVP,0.8429086786229643,RFC,0.7920841063698207,EN,0.8219954648526077,SVC,0.8070191713048857,RFC,0.7843640486497631
Paclitaxel_ActArea,SVM,0.6573593073593074,EN,0.7608225108225108,Logistic,0.83008658008658,Ada,0.7387445887445889,Ridge,0.6941558441558442,Logistic,0.7287878787878788,Logistic,0.7532467532467533
Irinotecan_ActArea,Logistic,0.7301775147928995,SVC,0.7899408284023668,RFC,0.8,Logistic,0.7325443786982249,Ridge,0.7384615384615384,KNN,0.7449704142011835,EN,0.7834319526627218
PD-0325901_ActArea,RFC,0.7318491032776746,Logistic,0.846938775510204,XGB,0.8722222222222221,XGB,0.7649453720882292,ET,0.7696248196248195,SVP,0.774025974025974,XGB,0.7879406307977737
AZD6244_ActArea,Logistic,0.7762007833436406,Ada,0.8223768295196866,KNN,0.8394145537002681,ET,0.7541743970315398,Ridge,0.7882910740053598,XGB,0.7826530612244897,ET,0.7833436404864976
Nilotinib_ActArea,SVM,0.7118608227604767,SVC,0.7583237216455209,RFC,0.7502691272587467,SVM,0.7416186082276047,Ridge,0.7725874663590927,ET,0.7552672049211842,ET,0.7607074202229911
AEW541_ActArea,EN,0.5660997732426304,Logistic,0.6641620284477427,Ada,0.6530509173366317,XGB,0.6562770562770563,SVC,0.6630488559059988,EN,0.6593588950731808,Logistic,0.6552154195011337
17-AAG_ActArea,Ada,0.5566378066378066,EN,0.6820861678004536,Ada,0.7292207792207793,ET,0.6743248814677386,Ada,0.6645846217274789,RFC,0.6721913007627294,EN,0.6683982683982684
PHA-665752_ActArea,Ada,0.6682333539476397,EN,0.6327973613687898,SVM,0.6482168625025768,XGB,0.6830447330447331,SVP,0.64568130282416,RFC,0.6324572253143682,SVM,0.6771284271284271
Nutlin-3_ActArea,XGB,0.6435374149659865,EN,0.6842506699649556,EN,0.6569057926200783,ET,0.6403318903318903,RFC,0.6417542774685632,SVP,0.6432694289837146,Logistic,0.6473922902494331
AZD0530_ActArea,SVC,0.6353226138940424,SVC,0.6761080189651618,KNN,0.6691609977324263,XGB,0.6156153370439084,Logistic,0.6404040404040404,Ridge,0.6723562152133582,XGB,0.6139146567717997
PF2341066_ActArea,SVC,0.7081735724592868,Logistic,0.7370129870129871,ET,0.7426406926406927,EN,0.7356833642547929,Ada,0.7344465058750773,SVM,0.7386209029066172,Ada,0.7327458256029684
L-685458_ActArea,XGB,0.6223469387755103,SVC,0.6450113378684807,SVC,0.6799319727891157,EN,0.5955895691609977,ET,0.6391156462585034,SVP,0.6379818594104308,SVC,0.672063492063492
ZD-6474_ActArea,RFC,0.6142857142857143,Logistic,0.6707482993197278,ET,0.6988662131519275,Ada,0.617687074829932,KNN,0.6954648526077098,RFC,0.61859410430839,Ridge,0.7043083900226756
Sorafenib_ActArea,SVP,0.6080911152339723,RFC,0.6498041640898784,KNN,0.6479179550608122,ET,0.6079468150896721,EN,0.6658317872603586,KNN,0.6911770768913625,ET,0.6338486909915482
LBW242_ActArea,KNN,0.5631416202844773,ET,0.6304576376004949,EN,0.6217790146361575,Ridge,0.5795196866625437,XGB,0.5984951556380127,KNN,0.6253143681715111,SVC,0.5839620696763553
PD-0332991_ActArea,KNN,0.7109486679662118,ET,0.7630116959064328,RFC,0.7312378167641326,EN,0.6991877842755037,SVM,0.7292235217673815,XGB,0.7726283300844704,RFC,0.7130116959064328
PLX4720_ActArea,EN,0.5689342403628117,RFC,0.6498866213151927,KNN,0.6065759637188208,RFC,0.6217687074829932,Ridge,0.6664399092970521,Ada,0.6083900226757369,ET,0.6789115646258503
RAF265_ActArea,SVC,0.5969113573407202,ET,0.7041828254847646,Ridge,0.7064127423822715,EN,0.6286149584487534,XGB,0.6349584487534626,KNN,0.6492797783933518,Ridge,0.628448753462604
TAE684_ActArea,ET,0.7058235415378272,ET,0.764100185528757,Logistic,0.7287466501752216,KNN,0.7051948051948052,RFC,0.7401051329622758,SVC,0.7166769738198309,KNN,0.694846423417852
TKI258_ActArea,XGB,0.5960832817975674,ET,0.6716862502576788,SVP,0.6439600082457225,SVC,0.6600700886415173,SVC,0.6341372912801484,SVM,0.5858379715522573,RFC,0.657421150278293
Erlotinib_ActArea,Ridge,0.6953205524634096,ET,0.8085858585858585,SVC,0.8173366316223458,SVC,0.6846217274788703,Logistic,0.7515563801278087,SVP,0.7024840239125953,XGB,0.7231086373943516
